id(unique),floor,layer,name,words,desc,images,
1a,0,main,1A,普通教室 クラス 1年 A組,,,
1b,0,main,1B,普通教室 クラス 1年 B組,,,
1c,0,main,1C,普通教室 クラス 1年 C組,,,
1d,0,main,1D,普通教室 クラス 1年 D組,,,
1e,0,main,1E,普通教室 クラス 1年 E組,,,
1f,0,main,1F,普通教室 クラス 1年 F組,,,
1g,0,main,1G,普通教室 クラス 1年 G組,,,
1h,0,main,1H,普通教室 クラス 1年 H組,,,
grand,0,main,校庭,グランド グラウンド トラック,,grand-kZRaRnHs.webp,
tennis_court,0,main,テニスコート,,,tennis_court-r9zge5qb.webp,tennis_court-AHGmB7D0.webp
handball_court,0,main,ハンドボールコート,,,handball_court-7mVe6x20.webp,
audiovisual_hall_1f_wc_man,0,main,男子トイレ[視聴覚ホール],,,,
audiovisual_hall_1f_wc_woman,0,main,女子トイレ[視聴覚ホール],,,,
audiovisual_hall_1f_stairs_0,0,main,階段[視聴覚ホール],,,,
audiovisual_hall_1f_stairs_1,0,main,階段[視聴覚ホール],,,,
audiovisual_hall_1f_passage_0,0,main,通路[視聴覚ホール],,,,
audiovisual_hall_1f_passage_1,0,main,通路[視聴覚ホール],,,,
nishi_hall_1f_office,0,main,事務室[西高会館],,,,
nishi_hall_1f_wc,0,main,誰でもトイレ[西高会館],,,,
nishi_hall_1f_printing,0,main,印刷室[西高会館],,,,
nishi_hall_1f_cafeteria,0,main,食堂[西高会館],,,,
nishi_hall_1f_kitchen,0,main,厨房[西高会館],,,,
nishi_hall_1f_stairs,0,main,階段[西高会館],,,,
nishi_hall_1f_outdoor_stairs,0,main,外階段[西高会館],,,,
gym_1f,0,main,体育館,,,,
gym_1f_stairs,0,main,階段[体育館],,,,
gym_1f_warehouse,0,main,体育倉庫[体育館],,,,
gym_1f_wc_man,0,main,男子トイレ[体育館],,,,
gym_1f_wc_woman,0,main,女子トイレ[体育館],,,,
gym_1f_stage,0,main,ステージ[体育館],舞台,,,
gym_1f_stage_stairs_0,0,main,ステージ脇階段[体育館],舞台,,,
gym_1f_stage_stairs_1,0,main,ステージ脇階段[体育館],舞台,,,
gym_1f_stage_side_0,0,main,ステージ脇[体育館],舞台,,,
gym_1f_stage_side_1,0,main,ステージ脇[体育館],舞台,,,
martial_arts_field_1f_0,0,main,格技室(1)[武道場],格技棟,,,
martial_arts_field_1f_1,0,main,格技室(2)[武道場],格技棟,,,
martial_arts_field_1f_wc_man,0,main,男子トイレ[武道場],格技棟,,,
martial_arts_field_1f_wc_woman,0,main,女子トイレ[武道場],格技棟,,,
martial_arts_field_1f_warehouse,0,main,器具庫[武道場],格技棟,,,
martial_arts_field_1f_stairs,0,main,階段[武道場],格技棟,,,
fountain,0,main,愛の泉,,西高のシンボルともいえる**愛の泉**。/n西高には愛の泉に関する様々な噂がある。,fountain-87KPE1Vq.webp,
garbage_dump,0,main,ゴミ置き場,ゴミ捨て場,,,
bicycle_parking_1st_0,0,main,自転車置き場(1年),,,,
bicycle_parking_1st_1,0,main,自転車置き場(1年),,,,
bicycle_parking_1st_2,0,main,自転車置き場(1年),,,,
bicycle_parking_2nd_0,0,main,自転車置き場(2年),,,,
bicycle_parking_2nd_1,0,main,自転車置き場(2年),,,,
bicycle_parking_2nd_2,0,main,自転車置き場(2年),,,,
bicycle_parking_3nd_0,0,main,自転車置き場(3年),,,,
bicycle_parking_3nd_1,0,main,自転車置き場(3年),,,,
bicycle_parking_teachers,0,main,自転車置き場(先生),,,,
clubroom_0,0,main,シブ楽隊[部室],,,,
clubroom_1,0,main,歴史研究部[部室],,,,
clubroom_2,0,main,演劇部[部室],,,,
clubroom_3,0,main,体操部[部室],,,,
clubroom_4,0,main,吹奏楽部[部室],,,,
clubroom_5,0,main,男子バスケットボール部[部室],,,,
clubroom_6,0,main,剣道部[部室],,,,
clubroom_7,0,main,化学部[部室],,,,
clubroom_8,0,main,園芸部[部室],,,,
clubroom_9,0,main,軽音楽同好会[部室],,,,
clubroom_10,0,main,つるばみ同好会[部室],,,,
clubroom_11,0,main,男子バレーボール部[部室],,,,
clubroom_12,0,main,卓球部[部室],,,,
clubroom_13,0,main,水泳部[部室],,,,
clubroom_14,0,main,女子バレーボール部[部室],,,,
clubroom_15,0,main,女子バスケットボール部[部室],,,,
clubroom_16,0,main,バドミントン部[部室],,,,
clubroom_17,0,main,ダンス部[部室],,,,
clubroom_building_0_1f_stairs_0,0,main,階段[部室棟],,,,
clubroom_building_0_1f_stairs_1,0,main,階段[部室棟],,,,
clubroom_building_0_1f_room_0,0,main,写真部[部室棟],,,,
clubroom_building_0_1f_room_1,0,main,生徒会倉庫[部室棟],,,,
clubroom_building_0_1f_room_2,0,main,女子ハンドボール部[部室棟],,,,
clubroom_building_0_1f_room_3,0,main,男子ハンドボール部[部室棟],,,,
clubroom_building_0_1f_room_4,0,main,男子硬式テニス部[部室棟],,,,
clubroom_building_0_1f_room_5,0,main,硬式野球部[部室棟],,,,
clubroom_building_0_1f_room_6,0,main,陸上競技部[部室棟],,,,
clubroom_building_0_1f_room_7,0,main,サッカー部[部室棟],,,,
clubroom_building_0_1f_room_8,0,main,アメリカンフットボール部[部室棟],,,,
clubroom_building_1_warehouse_0,0,main,倉庫[部室棟],,,clubroom_building_1-39A51R8u.webp,
clubroom_building_1_warehouse_1,0,main,倉庫[部室棟],,,,
clubroom_building_1_wc_man,0,main,男子トイレ[部室棟],,,,
clubroom_building_1_wc_woman,0,main,女子トイレ[部室棟],,,,
