"id","mode","floor","behavior","name","words","desc","images1","images2","images3","","","","","",""
"classroom-1a","main","f1","place","1A","普通教室 クラス 1年 A組","","","","","","","","","",""
"classroom-1b","main","f1","place","1B","普通教室 クラス 1年 B組","","","","","","","","","",""
"classroom-1c","main","f1","place","1C","普通教室 クラス 1年 C組","","","","","","","","","",""
"classroom-1d","main","f1","place","1D","普通教室 クラス 1年 D組","","","","","","","","","",""
"classroom-1e","main","f1","place","1E","普通教室 クラス 1年 E組","","","","","","","","","",""
"classroom-1f","main","f1","place","1F","普通教室 クラス 1年 F組","","","","","","","","","",""
"classroom-1g","main","f1","place","1G","普通教室 クラス 1年 G組","","","","","","","","","",""
"classroom-1h","main","f1","place","1H","普通教室 クラス 1年 H組","","","","","","","","","",""
"grand","main","f1","place","校庭","グランド グラウンド トラック","","/images/main/grand-kZRaRnHs.webp","","","","","","","",""
"tennis-court","main","f1","place","テニスコート","","","/images/main/tennis_court-r9zge5qb.webp","/images/main/tennis_court-AHGmB7D0.webp","","","","","","",""
"handball-court","main","f1","place","ハンドボールコート","","","/images/main/handball_court-7mVe6x20.webp","","","","","","","",""
"audiovisual-hall-1f-wc","main","f1","place","トイレ[視聴覚ホール]","","","","","","","","","","",""
"audiovisual-hall-1f-stairs-0","main","f1","place","階段[視聴覚ホール]","","","","","","","","","","",""
"audiovisual-hall-1f-stairs-1","main","f1","place","階段[視聴覚ホール]","","","","","","","","","","",""
"audiovisual-hall-1f-passage-0","main","f1","place","通路[視聴覚ホール]","","","","","","","","","","",""
"audiovisual-hall-1f-passage-1","main","f1","place","通路[視聴覚ホール]","","","","","","","","","","",""
"nishi-hall-1f-office","main","f1","place","事務室[西高会館]","","","","","","","","","","",""
"nishi-hall-1f-wc","main","f1","place","誰でもトイレ[西高会館]","","","","","","","","","","",""
"nishi-hall-1f-printing","main","f1","place","印刷室[西高会館]","","","","","","","","","","",""
"nishi-hall-1f-cafeteria","main","f1","place","食堂[西高会館]","","","","","","","","","","",""
"nishi-hall-1f-kitchen","main","f1","place","厨房[西高会館]","","","","","","","","","","",""
"nishi-hall-1f-stairs","main","f1","place","階段[西高会館]","","","","","","","","","","",""
"nishi-hall-1f-outdoor-stairs","main","f1","place","外階段[西高会館]","","","","","","","","","","",""
"gym-1f","main","f1","place","体育館","","","","","","","","","","",""
"gym-1f-stairs","main","f1","place","階段[体育館]","","","","","","","","","","",""
"gym-1f-warehouse","main","f1","place","体育倉庫[体育館]","","","","","","","","","","",""
"gym-1f-wc","main","f1","place","トイレ[体育館]","","","","","","","","","","",""
"gym-1f-stage","main","f1","place","ステージ[体育館]","舞台","","","","","","","","","",""
"gym-1f-stage-stairs-0","main","f1","place","ステージ脇階段[体育館]","舞台","","","","","","","","","",""
"gym-1f-stage-stairs-1","main","f1","place","ステージ脇階段[体育館]","舞台","","","","","","","","","",""
"gym-1f-stage-side-0","main","f1","place","ステージ脇[体育館]","舞台","","","","","","","","","",""
"gym-1f-stage-side-1","main","f1","place","ステージ脇[体育館]","舞台","","","","","","","","","",""
"martial-arts-field-1f-0","main","f1","place","格技室(1)[武道場]","格技棟","","","","","","","","","",""
"martial-arts-field-1f-1","main","f1","place","格技室(2)[武道場]","格技棟","","","","","","","","","",""
"martial-arts-field-1f-wc","main","f1","place","トイレ[武道場]","格技棟","","","","","","","","","",""
"martial-arts-field-1f-warehouse","main","f1","place","器具庫[武道場]","格技棟","","","","","","","","","",""
"martial-arts-field-1f-stairs","main","f1","place","階段[武道場]","格技棟","","","","","","","","","",""
"fountain","main","f1","place","愛の泉","","西高のシンボルともいえる**愛の泉**。/n西高には愛の泉に関する様々な噂がある。","/images/main/fountain-87KPE1Vq.webp","","","","","","","",""
"garbage-dump","main","f1","place","ゴミ置き場","ゴミ捨て場","","","","","","","","","",""
"bicycle-parking-1st-0","main","f1","place","自転車置き場(1年)","","","","","","","","","","",""
"bicycle-parking-1st-1","main","f1","place","自転車置き場(1年)","","","","","","","","","","",""
"bicycle-parking-1st-2","main","f1","place","自転車置き場(1年)","","","","","","","","","","",""
